"target","flakeref","pintype","vuln_id","url","package","severity","version_local","version_nixpkgs","version_upstream","package_repology","sortcol","whitelist","whitelist_comment","classify","nixpkgs_pr"
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","GHSA-w596-4wvx-j9j6","https://osv.dev/GHSA-w596-4wvx-j9j6","py","","1.11.0","1.11.0","1.11.0","python:py","2024A1708041600","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","GHSA-fwr7-v2mv-hh25","https://osv.dev/GHSA-fwr7-v2mv-hh25","async","","2.2.4","2.2.5","2.2.5","haskell:async","2024A1707782400","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31083","https://nvd.nist.gov/vuln/detail/CVE-2024-31083","xwayland","7.8","23.2.3","23.2.6","23.2.6","xwayland","2024A0000031083","False","","err_not_vulnerable_based_on_repology","https://github.com/NixOS/nixpkgs/pull/302930"
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31083","https://nvd.nist.gov/vuln/detail/CVE-2024-31083","xorg-server","7.8","21.1.9","21.1.13","21.1.13","xorg-server","2024A0000031083","False","","err_not_vulnerable_based_on_repology","https://github.com/NixOS/nixpkgs/pull/302930"
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31082","https://nvd.nist.gov/vuln/detail/CVE-2024-31082","xorg-server","7.3","21.1.9","21.1.13","21.1.13","xorg-server","2024A0000031082","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31081","https://nvd.nist.gov/vuln/detail/CVE-2024-31081","xwayland","7.3","23.2.3","23.2.6","23.2.6","xwayland","2024A0000031081","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31081","https://nvd.nist.gov/vuln/detail/CVE-2024-31081","xorg-server","7.3","21.1.9","21.1.13","21.1.13","xorg-server","2024A0000031081","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31080","https://nvd.nist.gov/vuln/detail/CVE-2024-31080","xwayland","7.3","23.2.3","23.2.6","23.2.6","xwayland","2024A0000031080","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-31080","https://nvd.nist.gov/vuln/detail/CVE-2024-31080","xorg-server","7.3","21.1.9","21.1.13","21.1.13","xorg-server","2024A0000031080","False","","err_not_vulnerable_based_on_repology",""
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-28835","https://nvd.nist.gov/vuln/detail/CVE-2024-28835","gnutls","5","3.8.2","3.8.4","3.8.5","gnutls","2024A0000028835","False","","err_not_vulnerable_based_on_repology","https://github.com/NixOS/nixpkgs/pull/298806"
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-28834","https://nvd.nist.gov/vuln/detail/CVE-2024-28834","gnutls","5.3","3.8.2","3.8.4","3.8.5","gnutls","2024A0000028834","False","","err_not_vulnerable_based_on_repology","https://github.com/NixOS/nixpkgs/pull/298806"
"packages.x86_64-linux.lenovo-x1-carbon-gen11-release","github:tiiuae/ghaf?ref=ghaf-24.03","current","CVE-2024-28182","https://nvd.nist.gov/vuln/detail/CVE-2024-28182","nghttp2","5.3","1.57.0","1.61.0","1.61.0","nghttp2","2024A0000028182","False","","err_not_vulnerable_based_on_repology","https://github.com/NixOS/nixpkgs/pull/301545 
https://github.com/NixOS/nixpkgs/pull/302390"
